Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
1,ITG/TEM,0.01,0.2,7.37778,ITG/TEM/KBM,1.247,26.06773649,0.4316192,0.54095907,0.118,ITG/TEM,0.996872242,ITG/TEM,-0.381420469,-0.011832703,0.000832912,3.215951474,1.870331526,0.236244978,0.220392412,0.159453314,0.876908248,0.818065743,0.591868353,0.468851771,0.437390768,0.316451038,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
2,ITG/TEM,0.05,0.2,7.37778,ITG/TEM/KBM,0.34902362,7.296115272,2.158096,2.70479535,30.56103308,ITG/TEM,0.98990169,ITG/TEM,-0.007445657,-7.63E-05,-1.48E-05,2.875497257,1.672330325,0.208781536,0.215313943,0.240417984,0.944286338,0.973831396,1.087373059,0.564653002,0.582320001,0.650214281,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
