Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
11,0,1,-328.6531413,-159.108,7.023564,ETG,-0.00013,-0.00041,0.005052,0.008687,-0.0004,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
10,0,0.8,-275.1021131,-139.466,5.450384,ETG,-0.00025,-0.00166,0.006522,0.011213,-0.00164,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
11,1,1,-513.7171413,-344.172,4.161862,ETG,-5.45E-06,0.000252,0.002098,0.003608,0.000251,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
9,0,0.6,-224.6510848,-122.924,3.947545,ETG,-0.0005,-0.00265,0.008511,0.014635,-0.0026,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
10,1,0.8,-422.9431131,-287.307,3.72105,ETG,-5.50E-05,-6.54E-05,0.002734,0.0047,-6.50E-05,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
8,0,0.5,-198.5235707,-113.751,3.269464,ETG,-0.00069,-0.00296,0.009567,0.016449,-0.00291,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
6,0,0.3,-137.4402424,-86.5767,1.662647,ETG,-0.00143,-0.00296,0.011723,0.020157,-0.00289,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
5,0,0.2,-98.79172826,-64.8827,0.78736,ETG,-0.0013,-0.00155,0.015285,0.026281,-0.00148,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0003
2,1,0.12,-46.91946255,,0.092934037,ETG,0.002832498,0.001466339,0.01337963,0.023005676,0.001380924,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
5,0,0.18,-60.32643701,,0.619876653,ETG,-0.000208672,-0.001130647,0.015944646,0.027416105,-0.001080596,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0021
