Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
12,0,1,-325.8781413,-156.333,7.013816,ETG,-0.00013,-0.00023,0.004961,0.00853,-0.00023,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
11,0,0.8,-272.4551131,-136.819,5.433682,ETG,-0.00026,-0.00175,0.006768,0.011637,-0.00173,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
12,1,1,-511.8791413,-342.334,4.231347,ETG,-6.56E-06,0.000282,0.002175,0.00374,0.000281,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
10,0,0.6,-222.1180848,-120.391,3.940198,ETG,-0.00051,-0.00276,0.008647,0.014868,-0.00272,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
11,1,0.8,-420.9721131,-285.336,3.779866,ETG,-5.68E-05,-0.00011,0.002778,0.004777,-0.00011,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
7,0,0.3,-134.2400424,-83.3765,1.681092,ETG,-0.00133,-0.00261,0.013312,0.022889,-0.00254,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
7,1,0.3,-194.2355424,-143.372,1.017887,ETG,-0.00069,-0.00033,0.00484,0.008321,-0.00033,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
6,0,0.2,-95.39992826,-61.4909,0.806716,ETG,-0.00268,0.00386,0.024969,0.042934,0.003622,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
8,0,0.18,-86.00292544,-55.4848,0.63422,ETG,-0.00853,0.021503,0.051277,0.088169,0.0192,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0015
5,0,0.18,-87.38192544,-56.8638,0.616292,ETG,-0.0044,0.006755,0.028346,0.048739,0.006272,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
4,0,0.17,-83.16767402,-54.345,0.52732,ETG,-0.00515,0.008125,0.030791,0.052943,0.007485,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
3,0,0.15,-74.5303712,-49.0986,0.345236,ETG,-0.00892,0.011357,0.034113,0.058656,0.010328,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
6,0,0.14,-67.70051978,-43.9642,0.252069,ETG,-0.0337,0.06787,0.118716,0.204127,0.054165,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0015
4,0,0.11,-56.30306555,-37.6531,0.234034,ETG,-0.04015,0.135374,0.22394,0.385055,0.093792,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0015
2,0,0.12,-61.73021696,-41.3848,0.147648,ETG,-0.02159,0.017162,0.041037,0.070562,0.015241,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
2,0,0.12,-41.3847901,,0.14764834,ETG,-0.021591896,0.017161808,0.041037236,0.070561694,0.015240593,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
3,0,0.15,-49.09863101,,0.34523641,ETG,-0.008917427,0.011356591,0.03411303,0.05865583,0.010327612,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
4,0,0.16,-51.86368573,,0.433496326,ETG,-0.006055123,0.010044069,0.032917221,0.05659969,0.009186298,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
5,0,0.18,-56.86378292,,0.616292491,ETG,-0.004401756,0.006754544,0.028345617,0.048739022,0.006272209,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
1,0,0.18,-56.86378292,,0.616292491,ETG,-0.004401756,0.006754544,0.028345617,0.048739022,0.006272209,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0027
