Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
3,1,0.15,-208.1117712,-182.68,0.319582,MTM,7.547332,0.01091,0.014881,0.025587,0.010489,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0001
2,1,0.12,-154.3180122,,0.021545985,MTM,5.66879541,0.002810502,0.003470218,0.005966884,0.002767372,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
3,1,0.15,-182.6798652,,0.319581525,MTM,7.547332444,0.010910392,0.014880765,0.02558681,0.010488847,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0019
