Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
7,other,0.17,0.8,7.37778,other,-2.855150353,-59.68508984,7.3375264,9.19630419,0.531673733,ITG/TEM,0.987511233,ETG,7.82E-05,0.001542685,0.000494113,0.026009371,0.015126518,-0.011322859,-0.002927776,0.029344503,-0.011805449,-0.00305256,0.030595191,-0.780447279,-0.201801931,2.022619627,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
8,other,0.18,0.8,7.37778,other,-2.964,-61.96052201,7.7691456,9.73726326,0.614,ITG/TEM,0.985304028,ETG,-0.000281808,0.001259713,0.000416763,0.025220051,0.014667465,-0.011582802,-0.003190343,0.029072143,-0.012042665,-0.003317007,0.030226373,-0.821046124,-0.226147265,2.060776897,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
9,other,0.2,0.8,7.37778,other,-3.182,-66.51767241,8.632384,10.8191814,0.777,ITG/TEM,0.980510282,ETG,-0.00078988,0.000836218,0.000295875,0.023671584,0.013766908,-0.011962311,-0.003710187,0.028012374,-0.012378875,-0.003839387,0.02898785,-0.899176086,-0.278885204,2.105617981,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
10,other,0.25,0.8,7.37778,other,-3.726,-77.88964407,10.79048,13.52397675,1.205,ITG/TEM,0.965983715,ETG,-0.001362236,0.000270984,0.000130049,0.020176143,0.011734032,-0.012190037,-0.004555883,0.024792017,-0.012506479,-0.00467415,0.025435595,-1.065829641,-0.398341339,2.16767735,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
11,other,0.3,0.8,7.37778,other,-4.212,-88.04916286,12.948576,16.2287721,1.673,ITG/TEM,0.949513554,ETG,-0.001358301,8.24E-05,6.40E-05,0.017994887,0.010465458,-0.01203176,-0.004940694,0.022318707,-0.012278694,-0.005042095,0.022776766,-1.173259163,-0.481784464,2.176375497,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
12,other,0.4,0.8,7.37778,other,-4.949,-103.4556759,17.264768,21.6383628,2.556,ITG/TEM,0.923817617,ETG,-0.000957663,8.55E-06,1.78E-05,0.015459962,0.008991197,-0.011327561,-0.004879442,0.019908161,-0.011488519,-0.004948776,0.020191044,-1.277751873,-0.550402352,2.24564575,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
13,other,0.5,0.8,7.37778,other,-5.499,-114.9530737,21.58096,27.0479535,3.283,ITG/TEM,0.913392974,ETG,-0.000668758,6.14E-07,1.30E-06,0.013556767,0.007884338,-0.010147307,-0.00436459,0.017865367,-0.010258573,-0.004412448,0.018061262,-1.301133061,-0.559647256,2.290777219,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
14,other,0.6,0.8,7.37778,other,-5.939,-124.150992,25.897152,32.4575442,3.97,ITG/TEM,0.912456615,ETG,-0.000480009,-3.70E-07,-1.83E-06,0.011807826,0.00686719,-0.008912697,-0.003743149,0.016129474,-0.008993255,-0.003776982,0.016275262,-1.309597554,-0.550003945,2.370003136,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
15,other,0.7,0.8,7.37778,other,-6.329,-132.3036922,30.213344,37.8671349,4.702,ITG/TEM,0.916302434,ETG,-0.000336127,-4.56E-07,-1.09E-06,0.010396717,0.006046518,-0.007784005,-0.003147622,0.014675373,-0.007845077,-0.003172317,0.014790512,-1.297453693,-0.524651892,2.44612063,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
16,other,0.8,0.8,7.37778,other,-6.729,-140.6654361,34.529536,43.2767256,5.482,ITG/TEM,0.920661719,ETG,-0.00023439,-1.45E-07,-4.38E-07,0.008683884,0.005050369,-0.006543164,-0.002408846,0.013484229,-0.006587229,-0.002425069,0.013575039,-1.304306487,-0.480176553,2.687930246,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
17,other,0.9,0.8,7.37778,other,-7.179,-150.0723979,38.845728,48.6863163,6.294,ITG/TEM,0.922856914,ETG,-0.000166279,-1.57E-07,-2.04E-07,0.005921334,0.003443727,-0.00378252,-0.000419254,0.012509317,-0.003801756,-0.000421387,0.012572933,-1.103965501,-0.122363541,3.650967102,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
18,other,1,0.8,7.37778,other,-7.708,-161.1308042,43.16192,54.095907,6.993,ITG/TEM,0.931211716,ETG,-0.000120188,-1.51E-08,-3.28E-07,0.006056076,0.00352209,-0.003320685,0.000227089,0.013865391,-0.003336623,0.000228179,0.013931937,-0.947341802,0.064784997,3.95558818,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
