Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
4,other,0.11,0.8,7.37778,other,-5.677,-118.6740497,4.7478112,5.95054977,0.152,ITG/TEM,0.993663946,MTM,4.921129437,0.018935646,0.009426173,0.075695358,0.04402287,0.023685024,0.020236908,0.006980554,0.025354261,0.021663134,0.007472519,0.57593385,0.49208818,0.169741751,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
5,other,0.15,0.8,7.37778,other,-7.019,-146.7277004,6.474288,8.11438605,0.486,ITG/TEM,0.989389287,MTM,1.147940374,0.005699398,0.001457459,0.248808675,0.14470203,0.06829332,0.064245851,0.048674296,0.08723763,0.082067408,0.062176363,0.602877716,0.567147592,0.429685492,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
6,other,0.16,0.8,7.37778,other,-5.586984438,-116.7923321,6.9059072,8.65534512,0.459784743,ITG/TEM,0.984571182,MTM,1.022196943,0.004039335,0.001191219,0.258729343,0.150471688,0.069747128,0.065536165,0.049351409,0.089533652,0.084128084,0.063351883,0.59501992,0.559095765,0.421021946,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
