Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
12,0,1,-327.2671413,-157.722,7.019126,ETG,-0.00013,-0.00031,0.005007,0.008609,-0.00031,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
11,0,0.8,-273.7771131,-138.141,5.442171,ETG,-0.00026,-0.00171,0.006632,0.011404,-0.00169,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
12,1,1,-512.8001413,-343.255,4.196677,ETG,-6.00E-06,0.000266,0.002134,0.003669,0.000265,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
10,0,0.6,-223.3870848,-121.66,3.944065,ETG,-0.00051,-0.0027,0.008579,0.014751,-0.00266,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
11,1,0.8,-421.9591131,-286.323,3.750547,ETG,-5.59E-05,-9.16E-05,0.002754,0.004736,-9.11E-05,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
7,0,0.3,-135.7888424,-84.9253,1.669333,ETG,-0.00141,-0.00282,0.012376,0.021279,-0.00275,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
6,0,0.2,-97.16082826,-63.2518,0.796825,ETG,-0.00205,-2.19E-05,0.01826,0.031398,-2.09E-05,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0002
4,1,0.11,-137.4779655,-118.828,0.028912,ETG,0.46261,0.048924,0.124576,0.214203,0.04007,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0017
5,0,0.18,-58.63813636,,0.622161074,ETG,-0.001260696,0.001041111,0.019892969,0.034205071,0.000985029,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0020
