Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
12,0,1,-324.4851413,-154.94,7.00779,ETG,-0.00014,-0.00017,0.004919,0.008458,-0.00016,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
11,0,0.8,-271.1351131,-135.499,5.424782,ETG,-0.00026,-0.00177,0.006921,0.011899,-0.00175,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
12,1,1,-510.9531413,-341.408,4.265865,ETG,-7.13E-06,0.000298,0.00222,0.003817,0.000297,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
10,0,0.6,-220.8490848,-119.122,3.935309,ETG,-0.00053,-0.00284,0.008714,0.014984,-0.0028,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
11,1,0.8,-419.9811131,-284.345,3.809002,ETG,-5.77E-05,-0.00013,0.002805,0.004824,-0.00013,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
9,0,0.5,-194.7085707,-109.936,3.268163,ETG,-0.00073,-0.00324,0.009899,0.017021,-0.00318,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
10,1,0.6,-329.8150848,-228.088,2.919866,ETG,-0.00017,8.53E-05,0.003086,0.005307,8.47E-05,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
7,0,0.3,-132.5498424,-81.6863,1.683198,ETG,-0.00136,-0.0029,0.013216,0.022724,-0.00281,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
7,1,0.3,-193.1695424,-142.306,1.043795,ETG,-0.0007,-0.00034,0.004975,0.008554,-0.00034,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
6,0,0.2,-93.87532826,-59.9663,0.818169,ETG,-0.00421,0.010568,0.034709,0.059681,0.009772,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
5,0,0.18,-86.00292544,-55.4848,0.63422,ETG,-0.00853,0.021503,0.051277,0.088169,0.0192,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
4,0,0.17,-81.85267402,-53.03,0.528074,ETG,-0.0125,0.030601,0.063813,0.109724,0.026685,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
2,0,0.12,-58.88321696,-38.5378,0.230407,ETG,-0.03883,0.112725,0.188424,0.323986,0.081864,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
1,0,0.1,-54.65081413,-37.6963,0.198882,ETG,-0.04396,0.138491,0.228542,0.392967,0.095818,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0000
1,0,0.1,-37.69625583,,0.198881555,ETG,-0.043955351,0.138491431,0.228541513,0.392966918,0.095817854,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0018
2,0,0.12,-38.53781412,,0.230406744,ETG,-0.038830638,0.112725386,0.188423897,0.32398647,0.081864291,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0018
3,0,0.15,-47.37675942,,0.325673693,ETG,-0.026329488,0.054747091,0.098490367,0.169349785,0.044978022,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0018
5,0,0.18,-55.48483647,,0.634219871,ETG,-0.008531774,0.021503142,0.051277227,0.0881689,0.019199876,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0018
1,0,0.16,-50.42646358,,0.425356454,ETG,-0.018473075,0.042486033,0.080097097,0.137723378,0.035984051,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0024
1,1,0.16,-18.06470143,,0.034018223,ETG,-0.057446804,0.109944634,0.170749033,0.293595331,0.08654836,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0024
1,0,0.11,-37.65307119,,0.234033956,ETG,-0.040151495,0.135373632,0.2239403,0.385055339,0.093792144,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0025
2,0,0.13,-40.65441081,,0.222392828,ETG,-0.037837013,0.088358759,0.149950763,0.257833635,0.06761644,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0025
1,0,0.14,-43.96420952,,0.252068959,ETG,-0.033698272,0.06786973,0.118715923,0.204126725,0.054164842,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0031
