Suffix,index,kymin,omega(kHz),omega_plasma(kHz),gamma(cs/a),mode,Qem_e/Qes_e,D_e/chi_e,chi_i/chi_e,Q_i/Q_e,D_e/chi_tot,
6,0,0.14,-162.7743198,-139.038,0.458209,MTM,1.503743,0.067105,0.118609,0.203943,0.054549,
3,0,0.12,-146.068417,-125.723,0.293162,MTM,3.437872,0.028661,0.055127,0.094788,0.026164,
4,0,0.11,-137.3149655,-118.665,0.155921,MTM,4.913447,0.021046,0.043397,0.074619,0.019694,
1,1,0.1,-110.7908228,,-0.02581066,MTM,7.274477831,0.01346973,0.032747094,0.056307164,0.012889384,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0022
2,0,0.12,-125.7232266,,0.293162344,MTM,3.437871723,0.028661307,0.05512688,0.094788207,0.026163765,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0022
3,0,0.15,-146.633936,,0.496065669,MTM,1.153125129,0.081580754,0.144155641,0.247869182,0.063951655,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0022
3,0,0.13,-131.911334,,0.386400078,MTM,2.288766991,0.044230181,0.080168353,0.1378459,0.038400513,/global/cscratch1/sd/maxcurie/LL_EV_kx_scan/scanfiles0030
6,,0.16,-116.7923321,,0.459784743,MTM,1.022196943,0.004039335,0.001191219,0.258729343,0.150471688,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
