Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
1,ITG/TEM,0.01,0.2,7.37778,ITG/TEM/KBM,1.247,26.06773649,0.4316192,0.54095907,0.118,ITG/TEM,0.996872242,ITG/TEM,-0.381420469,-0.011832703,0.000832912,3.215951474,1.870331526,0.236244978,0.220392412,0.159453314,0.876908248,0.818065743,0.591868353,0.468851771,0.437390768,0.316451038,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
2,ITG/TEM,0.05,0.2,7.37778,ITG/TEM/KBM,0.34902362,7.296115272,2.158096,2.70479535,30.56103308,ITG/TEM,0.98990169,ITG/TEM,-0.007445657,-7.63E-05,-1.48E-05,2.875497257,1.672330325,0.208781536,0.215313943,0.240417984,0.944286338,0.973831396,1.087373059,0.564653002,0.582320001,0.650214281,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
3,other,0.1,0.2,7.37778,other,-1.463738226,-30.59851032,4.316192,5.4095907,-0.004146612,ITG/TEM,0.988870219,ETG,-0.051418318,0.08248873,0.001478053,0.093416666,0.05432922,-0.015417708,-0.017623721,-0.026104528,-0.017895047,-0.020455525,-0.03029904,-0.329381626,-0.376510555,-0.557693259,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
4,other,0.11,0.2,7.37778,other,-1.902052357,-39.76118656,4.7478112,5.95054977,0.091447597,ITG/TEM,0.971064098,ETG,-0.021923381,0.054805119,0.00732647,0.081336144,0.047303436,0.011268357,0.017423427,0.041084621,0.012849272,0.019867878,0.046848662,0.27163506,0.420009204,0.990386037,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
5,other,0.15,0.2,7.37778,other,-2.351324659,-49.15293633,6.474288,8.11438605,0.354548375,ITG/TEM,0.965941434,ETG,-0.009170984,0.012158547,0.001497186,0.067796297,0.039428938,0.001148334,0.011431715,0.050961802,0.001273855,0.012681281,0.056532283,0.032307616,0.321623709,1.433776454,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
6,other,0.16,0.2,7.37778,other,-2.479,-51.82190758,6.9059072,8.65534512,0.441,ITG/TEM,0.965982809,ETG,-0.006422232,0.008737183,0.001033093,0.062326205,0.036247645,-0.001323457,0.009225945,0.049779087,-0.001453595,0.010133152,0.05467397,-0.040101772,0.279553392,1.508345451,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
7,other,0.17,0.2,7.37778,other,-2.602,-54.39314382,7.3375264,9.19630419,0.532,ITG/TEM,0.965966606,ETG,-0.004958087,0.006287536,0.000676032,0.057097643,0.03320682,-0.003404467,0.007214616,0.048033744,-0.003704536,0.007850512,0.052267432,-0.111559498,0.236412627,1.573996893,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
8,other,0.18,0.2,7.37778,other,-2.721,-56.88076262,7.7691456,9.73726326,0.624,ITG/TEM,0.966234154,ETG,-0.003954992,0.004574602,0.000429821,0.05216035,0.030335391,-0.005152397,0.005388601,0.045908537,-0.005557927,0.005812721,0.049521858,-0.183215921,0.19161517,1.63247795,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
9,other,0.2,0.2,7.37778,other,-2.95,-61.66786098,8.632384,10.8191814,0.807,ITG/TEM,0.967713545,ETG,-0.002736568,0.002504835,0.000148046,0.043226944,0.025139906,-0.007756877,0.002352953,0.041216153,-0.008241855,0.002500066,0.043793084,-0.327839531,0.099446103,1.741974872,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
10,other,0.25,0.2,7.37778,other,-3.49,-72.95621519,10.79048,13.52397675,1.247,ITG/TEM,0.972345109,ETG,-0.001630671,0.000623323,-1.11E-05,0.028430071,0.016534347,-0.011228854,-0.002480019,0.031151534,-0.011641838,-0.002571231,0.032297248,-0.704100218,-0.155508453,1.953342788,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0006
