Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
1,other,0.01,0,7.37778,ITG/TEM/KBM,6.757,141.2507582,0.4316192,0.54095907,23.097,ITG/TEM,0.993612519,ITG/TEM,0.814366534,0.003351155,0.001073948,0.802962152,0.466986346,0.160975135,0.161227198,0.162187804,0.311502639,0.311990405,0.313849271,0.667048708,0.668093207,0.672073763,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
2,ITG/TEM,0.05,0,7.37778,ITG/TEM/KBM,13.234,276.6482956,2.158096,2.70479535,35.604,ITG/TEM,0.997625476,ITG/TEM,-0.004566083,-1.51E-05,-5.11E-06,1.833637628,1.066406098,0.251449101,0.250343367,0.24608915,0.7820116,0.778572744,0.765342047,0.733315011,0.730090296,0.717683487,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
3,other,0.1,0,7.37778,ITG/TEM/KBM,12.641,264.2520104,4.316192,5.4095907,0.499,ITG/TEM,0.996822517,ITG/TEM,0.5690771,0.001331074,0.000486114,1.058154574,0.615401033,0.179906698,0.182470683,0.192325103,0.394856098,0.400483489,0.422111797,0.641624041,0.650768308,0.685913371,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
4,other,0.11,0,7.37778,ITG/TEM/KBM,13.427,280.6828371,4.7478112,5.95054977,0.454,ITG/TEM,0.996716904,ITG/TEM,0.475622144,0.000968488,0.000372942,1.127138161,0.655520475,0.185278462,0.188003947,0.198472222,0.420676534,0.426864772,0.450633093,0.641744309,0.651184499,0.6874432,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
5,other,0.15,0,7.37778,other,-2.267923229,-47.40948284,6.474288,8.11438605,0.339519004,other,0.873280428,ETG,0.02955575,0.039992363,0.006548291,0.175177045,0.101879382,0.038585518,0.04661991,0.077510052,0.047095347,0.056901681,0.094604478,0.462265732,0.558520082,0.928592967,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
6,other,0.16,0,7.37778,other,-2.407,-50.31679368,6.9059072,8.65534512,0.438,other,0.897125879,ETG,0.013647675,0.029641171,0.004809156,0.143972471,0.083731441,0.027971471,0.036991758,0.071668241,0.033155784,0.043847917,0.08495144,0.395977706,0.523673268,1.014570382,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
7,other,0.17,0,7.37778,other,-2.532,-52.92983864,7.3375264,9.19630419,0.54,ITG/TEM,0.910813219,ETG,0.006041313,0.021917937,0.003578534,0.116191439,0.067574562,0.018296095,0.027938264,0.065003871,0.021072101,0.032177245,0.074866693,0.311834815,0.47617393,1.107912377,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
8,other,0.18,0,7.37778,other,-2.648,-55.35474436,7.7691456,9.73726326,0.64,ITG/TEM,0.925935308,ETG,0.002612745,0.016505144,0.002739241,0.093491367,0.054372665,0.010304708,0.020257128,0.05851183,0.011573808,0.022751941,0.06571799,0.212860785,0.418444476,1.20865862,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
9,other,0.2,0,7.37778,other,-2.868,-59.95370348,8.632384,10.8191814,0.829,ITG/TEM,0.955119574,ETG,0.000329564,0.009997995,0.001774334,0.062336568,0.036253672,-0.000611473,0.009340545,0.047598212,-0.000661743,0.010108445,0.051511329,-0.01825313,0.278825411,1.420858266,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
10,other,0.25,0,7.37778,other,-3.401,-71.09572718,10.79048,13.52397675,1.258,ITG/TEM,0.978400076,ETG,-0.000832105,0.003155039,0.000781209,0.030276056,0.017607934,-0.010891547,-0.002047702,0.031948864,-0.011301068,-0.002124695,0.033150139,-0.641816814,-0.120666905,1.882681858,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0005
