Suffix,Total mode,ky*rhoi,kx*rhoi,nu_ei(cs/a),f mode,omega(cs/a),f(kHz),omega*i(cs/a),omega*e(cs/a),gamma(cs/a),E_par mode,E_par,D_chi mode,Qem_e/Qes_e,Qem_i/Qes_i,Qem_z/Qes_z,Q_i/Q_e,chi_i/chi_e,D_i/chi_tot,D_e/chi_tot,D_z/chi_tot,D_i/chi_e,D_e/chi_e,D_z/chi_e,D_i/chi_i,D_e/chi_i,D_z/chi_i,
1,ITG/TEM,0.01,0.6,7.37778,ITG/TEM/KBM,2.093862035,43.77084504,0.4316192,0.54095907,0.026056919,ITG/TEM,0.998063194,ITG/TEM,-0.749481321,-0.013214485,-0.000280512,1.619197384,0.941692043,0.316868969,0.26122965,0.047263113,0.720074012,0.593635542,0.107403826,0.76465976,0.630392437,0.114054086,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
2,ITG/TEM,0.05,0.6,7.37778,ITG/TEM/KBM,0.586,12.24995476,2.158096,2.70479535,27.208,ITG/TEM,0.996372369,ITG/TEM,-0.007772893,-2.44E-05,-7.41E-05,1.557425685,0.905766888,0.016263277,0.033869606,0.101547808,0.437270705,0.910652046,2.730315729,0.482762961,1.005393394,3.014369111,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
3,other,0.1,0.6,7.37778,other,-5.827,-121.8097037,4.316192,5.4095907,0.483,ITG/TEM,0.99088417,MTM,3.070879213,0.004277603,0.001603716,0.250526807,0.145701261,0.07153641,0.067788387,0.053381338,0.092314516,0.08747786,0.068886212,0.633587622,0.600391922,0.472790776,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
4,other,0.11,0.6,7.37778,other,-6.326,-132.2409792,4.7478112,5.95054977,0.544,ITG/TEM,0.98981013,MTM,2.609519652,0.004063592,0.001556907,0.253566261,0.147468945,0.072800689,0.068842319,0.053624361,0.09371426,0.088618763,0.069029118,0.635484714,0.600931697,0.468092574,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
5,other,0.15,0.6,7.37778,other,-7.936,-165.8969982,6.474288,8.11438605,0.711,ITG/TEM,0.984426167,MTM,2.377979053,0.007128688,0.002276351,0.182748348,0.106282697,0.054649204,0.052258819,0.043068306,0.065782124,0.062904779,0.051842011,0.618935403,0.591862841,0.487774707,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
6,other,0.16,0.6,7.37778,other,-8.253,-172.5236802,6.9059072,8.65534512,0.73,ITG/TEM,0.983340277,MTM,2.483782308,0.009387157,0.00268945,0.160735025,0.093480199,0.048444822,0.046581969,0.039417228,0.057181747,0.054982932,0.046526045,0.611699025,0.588177309,0.497710163,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
7,other,0.17,0.6,7.37778,other,-8.546,-178.6486576,7.3375264,9.19630419,0.736,ITG/TEM,0.982297014,MTM,2.559279738,0.011103186,0.002961229,0.144482615,0.084028131,0.043730792,0.042295956,0.036779055,0.050889465,0.049219749,0.042799738,0.605624151,0.585753227,0.50935012,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
8,other,0.18,0.6,7.37778,other,-8.826153115,-184.5050791,7.7691456,9.73726326,0.724062312,ITG/TEM,0.981483626,MTM,2.694157635,0.012767867,0.003201291,0.129316443,0.075207795,0.039298949,0.038241198,0.03417509,0.045136591,0.043921716,0.03925161,0.600158407,0.584004829,0.521908795,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
9,other,0.2,0.6,7.37778,other,-3.105,-64.90803672,8.632384,10.8191814,0.791,ITG/TEM,0.978555634,ETG,-0.000893637,0.001283801,0.000348394,0.026715719,0.015537315,-0.011843207,-0.003010052,0.030946532,-0.01231066,-0.003128859,0.032167994,-0.792328616,-0.201377068,2.070370157,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
10,other,0.25,0.6,7.37778,other,-3.648,-76.25910401,10.79048,13.52397675,1.219,ITG/TEM,0.969026811,ETG,-0.001392976,0.000357064,0.000127635,0.021717739,0.012630592,-0.012307287,-0.004321539,0.026376266,-0.012652152,-0.004442634,0.027115359,-1.001706933,-0.351735989,2.146800311,/global/cscratch1/sd/maxcurie/LL_k_scan_2D/scanfiles0008
